,0
ACL_Risk_Score,0.23622356923249746
Load_Balance_Score,0.13322545156911617
Fatigue_Score,0.07292093149653438
Recovery_Days_Per_Week,0.035348352651816246
Performance_Score,0.035005893128572156
Training_Hours_Per_Week,0.03460608465145078
Weight_kg,0.0342698396089674
Team_Contribution_Score,0.03385493505939826
Athlete_ID_A095,0.030498852609760603
Athlete_ID_A171,0.029760639051048733
Athlete_ID_A107,0.028915898258364218
Height_cm,0.027418121965414412
Training_Intensity,0.027037741363853687
Athlete_ID_A024,0.022900502347588905
Athlete_ID_A191,0.02217137637042054
Athlete_ID_A192,0.021509491014828273
Age,0.02094703788837552
Athlete_ID_A145,0.01981540052564382
Athlete_ID_A007,0.019447685547283298
Athlete_ID_A129,0.01891309022384375
